slug,brand_name,total_reports,flag_reason
acetaminophen-easy-tabs-extra-strength,ACETAMINOPHEN EASY TABS EXTRA STRENGTH,246991,"retail phrase: ""extra strength"" | long name: 5 words"
equate-menstrual-pain-relief,EQUATE MENSTRUAL PAIN RELIEF,246991,"symptom word: ""pain"""
acetaminophen-caplets,ACETAMINOPHEN CAPLETS,246991,"form word: ""caplets"" | all generic words"
equaline-childrens-acetaminophen,EQUALINE CHILDRENS ACETAMINOPHEN,246991,"retail phrase: ""childrens"""
robitussin-direct-sore-throat-pain,ROBITUSSIN DIRECT SORE THROAT PAIN,246991,"symptom word: ""pain"" | long name: 5 words"
green-guard-maximum-strength-non-aspirin,GREEN GUARD MAXIMUM STRENGTH NON-ASPIRIN,246991,"retail phrase: ""maximum strength"" | long name: 6 words"
dye-freeinfants-pain-and-fever,DYE FREEINFANTS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""infants"" | long name: 5 words"
dr-sana-pain-and-fever-for-children,DR. SANA PAIN AND FEVER FOR CHILDREN,246991,"symptom word: ""pain"" | long name: 7 words"
good-neighbor-pharmacy-pain-relief,GOOD NEIGHBOR PHARMACY PAIN RELIEF,246991,"symptom word: ""pain"" | long name: 5 words"
unishield-extra-strength-non-aspirin,UNISHIELD EXTRA STRENGTH NON ASPIRIN,246991,"retail phrase: ""extra strength"" | long name: 5 words"
uline-acetaminophen-extra-strength,ULINE ACETAMINOPHEN EXTRA STRENGTH,246991,"retail phrase: ""extra strength"""
good-sense-childrens-pain-and-fever,GOOD SENSE CHILDRENS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 6 words"
equate-infants-pain-and-fever,EQUATE INFANTS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""infants"" | long name: 5 words"
good-sense-pain-and-fever-infants,GOOD SENSE PAIN AND FEVER INFANTS,246991,"symptom word: ""pain"" | retail phrase: ""infants"" | long name: 6 words"
